,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
8,2023-09-23,15:00,Championship,Matchweek 8,Sat,Away,D,1,1,Rotherham Utd,1.8,0.1,57.0,11434.0,Alan Browne,3-4-3,Samuel Allison,Match Report,,14,5,14.0,0.0,0,0,2023,Preston North End
9,2023-09-30,15:00,Championship,Matchweek 9,Sat,Home,L,0,4,West Brom,0.4,1.5,53.0,16658.0,Alan Browne,3-4-3,Joshua Smith,Match Report,,5,1,19.4,0.0,0,0,2023,Preston North End
10,2023-10-04,19:45,Championship,Matchweek 10,Wed,Away,L,0,3,Leicester City,0.4,1.5,25.0,30380.0,Ben Whiteman,4-4-1-1,Thomas Bramall,Match Report,,6,1,19.3,0.0,0,0,2023,Preston North End
11,2023-10-07,15:00,Championship,Matchweek 11,Sat,Away,L,2,4,Ipswich Town,0.3,2.4,45.0,29018.0,Alan Browne,3-4-3,David Webb,Match Report,,8,2,21.0,0.0,0,0,2023,Preston North End
12,2023-10-21,12:30,Championship,Matchweek 12,Sat,Home,D,1,1,Millwall,0.5,0.3,54.0,14427.0,Ben Whiteman,3-4-3,Matt Donohue,Match Report,,7,2,18.7,0.0,0,0,2023,Preston North End
13,2023-10-25,19:45,Championship,Matchweek 13,Wed,Home,D,2,2,Southampton,0.8,0.8,29.0,15346.0,Alan Browne,3-4-3,Jeremy Simpson,Match Report,,11,5,17.3,0.0,0,0,2023,Preston North End
14,2023-10-28,15:00,Championship,Matchweek 14,Sat,Away,L,0,1,Hull City,0.4,0.5,46.0,24267.0,Alan Browne,4-2-3-1,Lewis Smith,Match Report,,7,1,14.1,0.0,0,0,2023,Preston North End
0,2023-08-05,15:00,Championship,Matchweek 1,Sat,Home,L,0.0,1.0,Millwall,0.8,1.2,68.0,29359.0,Darragh Lenihan,4-2-3-1,Gavin Ward,Match Report,,16,2,20.4,0.0,0,0,2023,Middlesbrough
2,2023-08-12,12:30,Championship,Matchweek 2,Sat,Away,L,0.0,3.0,Coventry City,1.3,0.9,50.0,24080.0,Darragh Lenihan,4-2-3-1,Dean Whitestone,Match Report,,14,2,18.8,1.0,0,0,2023,Middlesbrough
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Home,D,1.0,1.0,Huddersfield,2.0,1.2,59.0,26257.0,Jonny Howson,4-2-3-1,Joshua Smith,Match Report,,17,7,17.9,0.0,0,0,2023,Middlesbrough
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Away,L,2.0,4.0,West Brom,1.8,0.6,42.0,23691.0,Jonny Howson,4-2-3-1,Jeremy Simpson,Match Report,,14,4,18.4,0.0,1,1,2023,Middlesbrough
6,2023-09-02,15:00,Championship,Matchweek 5,Sat,Home,L,0.0,2.0,QPR,1.5,0.7,61.0,25671.0,Jonny Howson,4-2-3-1,Thomas Bramall,Match Report,,16,9,16.6,0.0,0,0,2023,Middlesbrough
7,2023-09-16,15:00,Championship,Matchweek 6,Sat,Away,L,1.0,2.0,Blackburn,2.5,2.9,46.0,16348.0,Jonny Howson,4-2-3-1,James Bell,Match Report,,21,6,15.7,0.0,0,0,2023,Middlesbrough
8,2023-09-19,20:00,Championship,Matchweek 7,Tue,Away,D,1.0,1.0,Sheffield Weds,0.7,1.3,61.0,22975.0,Darragh Lenihan,4-2-3-1,David Webb,Match Report,,10,3,17.8,1.0,0,0,2023,Middlesbrough
9,2023-09-23,15:00,Championship,Matchweek 8,Sat,Home,W,2.0,1.0,Southampton,3.0,1.4,51.0,26141.0,Jonny Howson,4-2-3-1,Tim Robinson,Match Report,,13,4,17.8,0.0,1,1,2023,Middlesbrough
11,2023-09-30,15:00,Championship,Matchweek 9,Sat,Away,W,3.0,2.0,Watford,1.3,1.3,45.0,18446.0,Jonny Howson,4-2-3-1,Oliver Langford,Match Report,,9,3,16.6,0.0,0,0,2023,Middlesbrough
12,2023-10-03,19:45,Championship,Matchweek 10,Tue,Home,W,2.0,0.0,Cardiff City,2.2,0.6,61.0,24276.0,Dael Fry,4-2-3-1,Andy Madley,Match Report,,11,5,14.6,0.0,0,0,2023,Middlesbrough
13,2023-10-07,12:30,Championship,Matchweek 11,Sat,Away,W,4.0,0.0,Sunderland,2.4,0.5,52.0,43584.0,Dael Fry,4-2-3-1,Jarred Gillett,Match Report,,19,7,14.9,0.0,0,0,2023,Middlesbrough
14,2023-10-21,15:00,Championship,Matchweek 12,Sat,Home,W,1.0,0.0,Birmingham City,2.0,0.2,60.0,28449.0,Dael Fry,4-2-3-1,Rebecca Welch,Match Report,,17,10,12.7,0.0,0,0,2023,Middlesbrough
15,2023-10-24,19:45,Championship,Matchweek 13,Tue,Away,W,2.0,1.0,Norwich City,1.3,0.5,48.0,25585.0,Jonny Howson,4-2-3-1,Simon Hooper,Match Report,,19,7,15.9,0.0,0,0,2023,Middlesbrough
16,2023-10-28,15:00,Championship,Matchweek 14,Sat,Home,L,0.0,2.0,Stoke City,1.0,1.4,58.0,26732.0,Jonny Howson,4-2-3-1,Andrew Kitchen,Match Report,,9,3,16.0,0.0,0,0,2023,Middlesbrough
0,2023-08-05,15:00,Championship,Matchweek 1,Sat,Home,W,4.0,1.0,Rotherham Utd,2.4,0.9,70.0,22601.0,Josh Laurent,4-2-3-1,John Busby,Match Report,,15,6,14.0,1.0,0,0,2023,Stoke City
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,L,0.0,2.0,Ipswich Town,0.6,2.0,56.0,29006.0,Josh Laurent,4-2-3-1,Joshua Smith,Match Report,,9,2,18.4,0.0,0,0,2023,Stoke City
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Home,W,1.0,0.0,Watford,0.9,0.7,42.0,21183.0,Josh Laurent,3-5-2,James Bell,Match Report,,13,2,18.7,1.0,0,0,2023,Stoke City
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Away,L,0.0,1.0,Millwall,1.6,1.0,66.0,15254.0,Josh Laurent,3-5-2,David Webb,Match Report,,19,2,18.8,0.0,0,0,2023,Stoke City
6,2023-09-02,15:00,Championship,Matchweek 5,Sat,Home,L,0.0,2.0,Preston,1.4,1.9,69.0,22957.0,Josh Laurent,4-2-3-1,Matt Donohue,Match Report,,17,1,17.5,2.0,0,0,2023,Stoke City
7,2023-09-16,15:00,Championship,Matchweek 6,Sat,Away,L,0.0,1.0,Norwich City,1.2,1.2,55.0,25816.0,Josh Laurent,4-1-4-1,Oliver Langford,Match Report,,13,2,13.7,0.0,0,0,2023,Stoke City
8,2023-09-20,19:45,Championship,Matchweek 7,Wed,Away,D,2.0,2.0,Huddersfield,2.3,1.0,65.0,18791.0,Josh Laurent,3-5-2,Darren Bond,Match Report,,18,3,14.5,0.0,0,0,2023,Stoke City
9,2023-09-24,12:00,Championship,Matchweek 8,Sun,Home,L,1.0,3.0,Hull City,0.6,1.3,50.0,21142.0,Josh Laurent,5-3-2,Thomas Bramall,Match Report,,10,6,20.1,2.0,0,0,2023,Stoke City
11,2023-09-30,15:00,Championship,Matchweek 9,Sat,Away,W,3.0,2.0,Bristol City,1.0,1.3,47.0,21117.0,Josh Laurent,4-3-3,Jeremy Simpson,Match Report,,6,4,17.6,0.0,0,0,2023,Stoke City
12,2023-10-03,20:00,Championship,Matchweek 10,Tue,Home,L,0.0,1.0,Southampton,0.7,0.9,43.0,20002.0,Josh Laurent,4-1-2-1-2◆,James Bell,Match Report,,15,2,19.1,0.0,0,0,2023,Stoke City
13,2023-10-07,15:00,Championship,Matchweek 11,Sat,Away,L,0.0,2.0,Leicester City,0.2,2.4,27.0,31589.0,Josh Laurent,4-4-2,Geoff Eltringham,Match Report,,2,1,9.0,0.0,0,0,2023,Stoke City
14,2023-10-21,15:00,Championship,Matchweek 12,Sat,Home,W,2.0,1.0,Sunderland,0.7,1.9,47.0,25512.0,Enda Stevens,4-2-3-1,Graham Scott,Match Report,,11,4,18.5,0.0,0,0,2023,Stoke City
15,2023-10-25,20:00,Championship,Matchweek 13,Wed,Home,W,1.0,0.0,Leeds United,0.8,1.8,49.0,25871.0,Ben Pearson,4-2-3-1,Paul Tierney,Match Report,,12,3,17.4,1.0,0,0,2023,Stoke City
16,2023-10-28,15:00,Championship,Matchweek 14,Sat,Away,W,2.0,0.0,Middlesbrough,1.4,1.0,42.0,26732.0,Josh Laurent,4-2-3-1,Andrew Kitchen,Match Report,,13,6,17.6,0.0,0,0,2023,Stoke City
0,2023-08-05,15:00,Championship,Matchweek 1,Sat,Home,W,2.0,1.0,West Brom,1.6,0.8,58.0,16741.0,Lewis Travis,4-2-3-1,Dean Whitestone,Match Report,,12,3,12.9,0.0,0,0,2023,Blackburn Rovers
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,D,2.0,2.0,Rotherham Utd,2.6,0.7,76.0,10828.0,Lewis Travis,4-2-3-1,Robert Madley,Match Report,,20,6,16.5,0.0,0,1,2023,Blackburn Rovers
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Home,L,1.0,2.0,Hull City,1.6,2.1,42.0,13943.0,Lewis Travis,4-2-3-1,Oliver Langford,Match Report,,14,2,15.4,0.0,0,0,2023,Blackburn Rovers
4,2023-08-27,12:00,Championship,Matchweek 4,Sun,Away,W,1.0,0.0,Watford,0.4,1.4,35.0,17810.0,Lewis Travis,4-2-3-1,Gavin Ward,Match Report,,5,3,15.9,0.0,0,0,2023,Blackburn Rovers
6,2023-09-02,15:00,Championship,Matchweek 5,Sat,Away,L,0.0,3.0,Plymouth Argyle,1.8,1.3,58.0,16067.0,Lewis Travis,4-2-3-1,Stephen Martin,Match Report,,20,4,17.3,0.0,0,0,2023,Blackburn Rovers
7,2023-09-16,15:00,Championship,Matchweek 6,Sat,Home,W,2.0,1.0,Middlesbrough,2.9,2.5,54.0,16348.0,Lewis Travis,4-2-3-1,James Bell,Match Report,,15,8,17.2,0.0,0,0,2023,Blackburn Rovers
8,2023-09-20,19:45,Championship,Matchweek 7,Wed,Home,L,1.0,3.0,Sunderland,2.8,1.6,58.0,15621.0,Lewis Travis,4-2-3-1,John Busby,Match Report,,22,5,14.3,0.0,0,0,2023,Blackburn Rovers
9,2023-09-23,15:00,Championship,Matchweek 8,Sat,Away,L,3.0,4.0,Ipswich Town,0.9,2.9,60.0,28792.0,Lewis Travis,4-2-3-1,Keith Stroud,Match Report,,10,5,18.4,0.0,0,0,2023,Blackburn Rovers
11,2023-10-01,12:00,Championship,Matchweek 9,Sun,Home,L,1.0,4.0,Leicester City,1.4,1.8,48.0,15937.0,Lewis Travis,4-2-3-1,James Linington,Match Report,,15,4,16.8,1.0,0,0,2023,Blackburn Rovers
12,2023-10-04,19:45,Championship,Matchweek 10,Wed,Away,L,0.0,1.0,Coventry City,0.7,1.2,66.0,22370.0,Dominic Hyam,4-1-4-1,Jeremy Simpson,Match Report,,14,4,16.4,0.0,0,0,2023,Blackburn Rovers
13,2023-10-07,15:00,Championship,Matchweek 11,Sat,Away,W,4.0,0.0,QPR,2.3,1.1,52.0,15376.0,Dominic Hyam,4-1-4-1,Joshua Smith,Match Report,,17,7,17.3,0.0,0,0,2023,Blackburn Rovers
14,2023-10-21,15:00,Championship,Matchweek 12,Sat,Home,W,1.0,0.0,Cardiff City,1.1,0.7,61.0,13572.0,Dominic Hyam,4-1-4-1,Robert Madley,Match Report,,9,1,15.5,0.0,0,0,2023,Blackburn Rovers
15,2023-10-24,19:45,Championship,Matchweek 13,Tue,Away,W,2.0,1.0,Millwall,1.1,1.8,54.0,13834.0,Dominic Hyam,4-1-4-1,Andrew Davies,Match Report,,9,6,13.8,0.0,0,0,2023,Blackburn Rovers
16,2023-10-28,15:00,Championship,Matchweek 14,Sat,Home,L,0.0,1.0,Swansea City,1.7,1.0,58.0,13102.0,Sammie Szmodics,4-1-4-1,Stephen Martin,Match Report,,20,5,15.1,0.0,0,0,2023,Blackburn Rovers
0,2023-08-05,15:00,Championship,Matchweek 1,Sat,Home,D,1.0,1.0,Birmingham City,1.3,0.8,59.0,18051.0,Matt Grimes,5-3-2,James Linington,Match Report,,11,5,16.9,1.0,0,0,2023,Swansea City
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,L,2.0,3.0,West Brom,2.1,1.9,57.0,,Matt Grimes,3-5-2,Samuel Barrott,Match Report,,13,3,8.4,0.0,0,0,2023,Swansea City
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Home,D,1.0,1.0,Coventry City,0.7,0.9,39.0,16736.0,Matt Grimes,3-5-2,Robert Madley,Match Report,,7,3,15.8,0.0,0,0,2023,Swansea City
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Away,L,1.0,2.0,Preston,0.3,0.6,59.0,14464.0,Matt Grimes,3-5-2,Joshua Smith,Match Report,,10,1,21.7,0.0,0,0,2023,Swansea City
6,2023-09-02,12:30,Championship,Matchweek 5,Sat,Home,L,1.0,2.0,Bristol City,1.4,2.3,60.0,16676.0,Matt Grimes,3-4-3,Oliver Langford,Match Report,,12,4,15.5,0.0,0,0,2023,Swansea City
7,2023-09-16,19:45,Championship,Matchweek 6,Sat,Away,L,0.0,2.0,Cardiff City,0.6,1.5,51.0,28648.0,Matt Grimes,3-1-4-2,Samuel Barrott,Match Report,,9,3,20.4,0.0,0,0,2023,Swansea City
8,2023-09-19,19:45,Championship,Matchweek 7,Tue,Away,D,1.0,1.0,QPR,0.6,1.0,50.0,13367.0,Matt Grimes,3-1-4-2,Andrew Kitchen,Match Report,,8,3,20.9,0.0,0,0,2023,Swansea City
9,2023-09-23,15:00,Championship,Matchweek 8,Sat,Home,W,3.0,0.0,Sheffield Weds,2.0,0.7,57.0,16865.0,Matt Grimes,4-2-3-1,Anthony Backhouse,Match Report,,11,3,18.8,0.0,1,1,2023,Swansea City
10,2023-09-30,15:00,Championship,Matchweek 9,Sat,Away,W,3.0,0.0,Millwall,1.2,1.5,50.0,14803.0,Matt Grimes,3-1-4-2,John Busby,Match Report,,6,4,18.5,0.0,1,1,2023,Swansea City
11,2023-10-04,19:45,Championship,Matchweek 10,Wed,Home,W,2.0,1.0,Norwich City,2.5,1.6,55.0,14512.0,Matt Grimes,3-1-4-2,Tom Nield,Match Report,,23,6,14.3,0.0,0,0,2023,Swansea City
12,2023-10-07,15:00,Championship,Matchweek 11,Sat,Away,W,3.0,1.0,Plymouth Argyle,2.1,1.3,51.0,16463.0,Matt Grimes,4-2-3-1,Lewis Smith,Match Report,,14,6,15.0,0.0,0,0,2023,Swansea City
13,2023-10-21,15:00,Championship,Matchweek 12,Sat,Home,L,1.0,3.0,Leicester City,0.7,2.9,39.0,18509.0,Matt Grimes,4-2-3-1,Anthony Backhouse,Match Report,,11,4,18.7,0.0,0,0,2023,Swansea City
14,2023-10-24,19:45,Championship,Matchweek 13,Tue,Home,L,0.0,1.0,Watford,0.7,0.7,59.0,14698.0,Matt Grimes,4-2-3-1,Andrew Kitchen,Match Report,,9,3,22.4,0.0,0,0,2023,Swansea City
15,2023-10-28,15:00,Championship,Matchweek 14,Sat,Away,W,1.0,0.0,Blackburn,1.0,1.7,42.0,13102.0,Matt Grimes,4-2-3-1,Stephen Martin,Match Report,,15,4,20.7,1.0,0,0,2023,Swansea City
0,2023-08-05,15:00,Championship,Matchweek 1,Sat,Away,D,1.0,1.0,Swansea City,0.8,1.3,41.0,18051.0,Dion Sanderson,4-2-3-1,James Linington,Match Report,,11,5,19.1,0.0,0,0,2023,Birmingham City
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Home,W,1.0,0.0,Leeds United,1.6,0.4,41.0,20451.0,Dion Sanderson,4-2-3-1,Tim Robinson,Match Report,,9,1,17.5,0.0,1,1,2023,Birmingham City
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Away,W,2.0,0.0,Bristol City,1.3,0.8,36.0,22397.0,Dion Sanderson,4-2-3-1,Samuel Barrott,Match Report,,16,5,16.4,0.0,0,0,2023,Birmingham City
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Home,W,2.0,1.0,Plymouth Argyle,2.2,1.6,37.0,20685.0,Dion Sanderson,4-2-3-1,John Busby,Match Report,,13,4,14.6,0.0,0,0,2023,Birmingham City
6,2023-09-02,12:30,Championship,Matchweek 5,Sat,Home,D,1.0,1.0,Millwall,1.7,0.5,56.0,18710.0,Dion Sanderson,4-4-2,Joshua Smith,Match Report,,15,3,16.6,0.0,0,1,2023,Birmingham City
7,2023-09-16,15:00,Championship,Matchweek 6,Sat,Away,L,0.0,2.0,Watford,0.8,0.4,32.0,18932.0,Dion Sanderson,4-2-3-1,Keith Stroud,Match Report,,8,3,19.7,0.0,0,0,2023,Birmingham City
8,2023-09-19,19:45,Championship,Matchweek 7,Tue,Away,L,1.0,2.0,Preston,1.1,0.6,60.0,15838.0,Dion Sanderson,4-2-3-1,Dean Whitestone,Match Report,,16,4,19.8,1.0,0,0,2023,Birmingham City
9,2023-09-22,20:00,Championship,Matchweek 8,Fri,Home,D,0.0,0.0,QPR,1.1,1.0,54.0,19803.0,Dion Sanderson,4-2-3-1,Matt Donohue,Match Report,,12,4,15.0,0.0,0,0,2023,Birmingham City
10,2023-09-30,15:00,Championship,Matchweek 9,Sat,Away,L,0.0,2.0,Norwich City,1.1,1.3,43.0,26231.0,Dion Sanderson,4-2-3-1,Gavin Ward,Match Report,,12,2,18.9,0.0,0,0,2023,Birmingham City
11,2023-10-03,19:45,Championship,Matchweek 10,Tue,Home,W,4.0,1.0,Huddersfield,1.7,2.1,57.0,15944.0,Dion Sanderson,4-2-3-1,Samuel Allison,Match Report,,12,5,17.0,0.0,0,0,2023,Birmingham City
12,2023-10-06,20:00,Championship,Matchweek 11,Fri,Home,W,3.0,1.0,West Brom,1.5,1.2,41.0,21495.0,Dion Sanderson,4-2-3-1,James Linington,Match Report,,10,2,21.8,1.0,1,1,2023,Birmingham City
13,2023-10-21,15:00,Championship,Matchweek 12,Sat,Away,L,0.0,1.0,Middlesbrough,0.2,2.0,40.0,28449.0,Dion Sanderson,4-3-3,Rebecca Welch,Match Report,,5,3,21.4,0.0,0,0,2023,Birmingham City
14,2023-10-25,19:45,Championship,Matchweek 13,Wed,Home,L,0.0,2.0,Hull City,0.6,1.2,45.0,19530.0,Dion Sanderson,4-2-3-1,John Busby,Match Report,,14,4,22.6,0.0,0,0,2023,Birmingham City
15,2023-10-28,12:30,Championship,Matchweek 14,Sat,Away,L,1.0,3.0,Southampton,0.6,2.3,30.0,28924.0,Dion Sanderson,4-2-3-1,David Webb,Match Report,,10,2,19.5,0.0,0,0,2023,Birmingham City
0,2023-08-05,15:00,Championship,Matchweek 1,Sat,Home,D,1.0,1.0,Preston,0.9,1.3,47.0,29359.0,Andreas Weimann,4-3-3,David Webb,Match Report,,5,2,11.4,0.0,0,0,2023,Bristol City
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,W,1.0,0.0,Millwall,0.9,0.5,55.0,18905.0,Matty James,4-3-3,Keith Stroud,Match Report,,14,1,16.0,0.0,0,0,2023,Bristol City
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Home,L,0.0,2.0,Birmingham City,0.8,1.3,64.0,22397.0,Matty James,4-2-3-1,Samuel Barrott,Match Report,,9,0,19.0,1.0,0,0,2023,Bristol City
4,2023-08-25,19:30,Championship,Matchweek 4,Fri,Away,D,1.0,1.0,Hull City,3.6,1.5,39.0,19491.0,Matty James,4-3-3,James Linington,Match Report,,19,4,13.6,0.0,0,0,2023,Bristol City
6,2023-09-02,12:30,Championship,Matchweek 5,Sat,Away,W,2.0,1.0,Swansea City,2.3,1.4,40.0,16676.0,Matty James,4-3-3,Oliver Langford,Match Report,,16,3,13.8,0.0,0,0,2023,Bristol City
7,2023-09-16,15:00,Championship,Matchweek 6,Sat,Home,D,0.0,0.0,West Brom,0.8,0.7,46.0,21836.0,Matty James,4-2-3-1,Anthony Backhouse,Match Report,,14,3,18.2,0.0,0,0,2023,Bristol City
8,2023-09-19,19:45,Championship,Matchweek 7,Tue,Home,W,4.0,1.0,Plymouth Argyle,1.6,0.6,44.0,23017.0,Matty James,4-2-3-1,Matt Donohue,Match Report,,17,6,15.7,0.0,0,0,2023,Bristol City
9,2023-09-23,15:00,Championship,Matchweek 8,Sat,Away,L,0.0,1.0,Leicester City,0.3,2.3,31.0,31674.0,Matty James,4-2-3-1,James Bell,Match Report,,6,1,17.4,1.0,0,0,2023,Bristol City
10,2023-09-30,15:00,Championship,Matchweek 9,Sat,Home,L,2.0,3.0,Stoke City,1.3,1.0,53.0,21117.0,Matty James,4-3-3,Jeremy Simpson,Match Report,,13,5,19.2,0.0,0,0,2023,Bristol City
11,2023-10-04,20:00,Championship,Matchweek 10,Wed,Away,W,2.0,1.0,Rotherham Utd,1.1,1.3,58.0,9221.0,Matty James,4-3-3,Dean Whitestone,Match Report,,9,5,15.4,0.0,0,0,2023,Bristol City
12,2023-10-07,15:00,Championship,Matchweek 11,Sat,Away,L,1.0,2.0,Leeds United,0.5,2.5,49.0,36386.0,Matty James,4-3-3,Keith Stroud,Match Report,,9,1,15.9,0.0,0,0,2023,Bristol City
13,2023-10-21,15:00,Championship,Matchweek 12,Sat,Home,W,1.0,0.0,Coventry City,0.4,0.6,33.0,22718.0,Andreas Weimann,5-3-2,David Webb,Match Report,,6,3,31.1,0.0,0,0,2023,Bristol City
14,2023-10-25,19:45,Championship,Matchweek 13,Wed,Home,L,0.0,1.0,Ipswich Town,0.8,1.7,48.0,22784.0,Andreas Weimann,4-2-3-1,Joshua Smith,Match Report,,11,4,18.5,1.0,0,0,2023,Bristol City
15,2023-10-28,15:00,Championship,Matchweek 14,Sat,Away,L,0.0,2.0,Cardiff City,0.8,1.0,50.0,25803.0,Andreas Weimann,4-2-3-1,Darren England,Match Report,,8,1,19.2,0.0,0,0,2023,Bristol City
0,2023-08-05,15:00,Championship,Matchweek 1,Sat,Home,W,4,0,QPR,2.9,0.4,70.0,20087.0,Daniel Bachmann,4-3-3,Thomas Bramall,Match Report,,24,13,17.7,1.0,0,0,2023,Watford
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Home,D,0,0,Plymouth Argyle,1.2,1.0,63.0,19446.0,Daniel Bachmann,4-3-3,Geoff Eltringham,Match Report,,21,3,19.3,1.0,0,0,2023,Watford
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Away,L,0,1,Stoke City,0.7,0.9,58.0,21183.0,Daniel Bachmann,4-3-3,James Bell,Match Report,,10,3,20.1,0.0,0,0,2023,Watford
4,2023-08-27,12:00,Championship,Matchweek 4,Sun,Home,L,0,1,Blackburn,1.4,0.4,65.0,17810.0,Daniel Bachmann,4-3-3,Gavin Ward,Match Report,,24,4,21.3,1.0,0,0,2023,Watford
5,2023-09-02,15:00,Championship,Matchweek 5,Sat,Away,D,3,3,Coventry City,1.4,2.2,46.0,24539.0,Daniel Bachmann,4-3-3,David Webb,Match Report,,14,5,18.6,1.0,0,0,2023,Watford
6,2023-09-16,15:00,Championship,Matchweek 6,Sat,Home,W,2,0,Birmingham City,0.4,0.8,68.0,18932.0,Daniel Bachmann,4-3-3,Keith Stroud,Match Report,,12,4,22.8,2.0,0,0,2023,Watford
7,2023-09-20,19:45,Championship,Matchweek 7,Wed,Home,D,2,2,West Brom,0.9,0.6,63.0,16742.0,Daniel Bachmann,4-3-3,Leigh Doughty,Match Report,,12,4,17.9,0.0,0,0,2023,Watford
8,2023-09-23,15:00,Championship,Matchweek 8,Sat,Away,L,0,3,Leeds United,0.2,2.6,41.0,36236.0,Daniel Bachmann,4-3-3,Jeremy Simpson,Match Report,,4,1,23.6,0.0,0,0,2023,Watford
9,2023-09-30,15:00,Championship,Matchweek 9,Sat,Home,L,2,3,Middlesbrough,1.3,1.3,55.0,18446.0,Daniel Bachmann,3-4-3,Oliver Langford,Match Report,,17,4,15.6,0.0,0,0,2023,Watford
10,2023-10-04,19:45,Championship,Matchweek 10,Wed,Away,L,0,2,Sunderland,0.4,1.2,42.0,38120.0,Daniel Bachmann,4-3-3,Andrew Davies,Match Report,,11,4,23.8,0.0,0,0,2023,Watford
11,2023-10-07,15:00,Championship,Matchweek 11,Sat,Away,D,1,1,Cardiff City,2.0,0.7,56.0,19804.0,Daniel Bachmann,4-3-3,Gavin Ward,Match Report,,8,1,18.0,0.0,0,0,2023,Watford
12,2023-10-21,15:00,Championship,Matchweek 12,Sat,Home,W,1,0,Sheffield Weds,0.4,0.4,59.0,19102.0,Daniel Bachmann,4-3-3,Dean Whitestone,Match Report,,12,3,25.1,0.0,0,0,2023,Watford
13,2023-10-24,19:45,Championship,Matchweek 13,Tue,Away,W,1,0,Swansea City,0.7,0.7,41.0,14698.0,Daniel Bachmann,4-3-3,Andrew Kitchen,Match Report,,12,5,19.4,0.0,0,0,2023,Watford
14,2023-10-28,15:00,Championship,Matchweek 14,Sat,Home,D,2,2,Millwall,2.1,0.9,64.0,18620.0,Daniel Bachmann,4-3-3,Keith Stroud,Match Report,,19,6,15.5,0.0,0,0,2023,Watford
0,2023-08-05,15:00,Championship,Matchweek 1,Sat,Home,W,2.0,1.0,Hull City,2.6,0.4,58.0,25892.0,Kenny McLean,4-1-2-1-2◆,Keith Stroud,Match Report,,28,4,14.4,0.0,0,0,2023,Norwich City
1,2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,D,4.0,4.0,Southampton,2.0,3.7,31.0,30113.0,Kenny McLean,4-3-1-2,Darren England,Match Report,,15,6,15.4,1.0,0,0,2023,Norwich City
3,2023-08-20,12:00,Championship,Matchweek 3,Sun,Home,W,3.0,1.0,Millwall,1.7,0.5,55.0,26218.0,Kenny McLean,4-2-3-1,Tony Harrington,Match Report,,20,5,16.7,1.0,0,0,2023,Norwich City
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Away,W,4.0,0.0,Huddersfield,2.5,1.0,56.0,18708.0,Kenny McLean,4-2-3-1,Dean Whitestone,Match Report,,8,4,15.4,0.0,1,1,2023,Norwich City
6,2023-09-02,15:00,Championship,Matchweek 5,Sat,Away,L,1.0,2.0,Rotherham Utd,1.5,0.6,62.0,11016.0,Kenny McLean,4-2-3-1,Samuel Barrott,Match Report,,17,5,16.3,0.0,0,0,2023,Norwich City
7,2023-09-16,15:00,Championship,Matchweek 6,Sat,Home,W,1.0,0.0,Stoke City,1.2,1.2,45.0,25816.0,Kenny McLean,4-2-3-1,Oliver Langford,Match Report,,13,5,15.5,0.0,0,0,2023,Norwich City
8,2023-09-20,20:00,Championship,Matchweek 7,Wed,Home,L,0.0,2.0,Leicester City,0.9,2.3,43.0,26277.0,Kenny McLean,4-2-3-1,Graham Scott,Match Report,,15,2,17.7,1.0,0,0,2023,Norwich City
9,2023-09-23,15:00,Championship,Matchweek 8,Sat,Away,L,2.0,6.0,Plymouth Argyle,1.9,3.2,69.0,16469.0,Kenny McLean,4-2-3-1,Andrew Kitchen,Match Report,,10,5,19.9,0.0,1,1,2023,Norwich City
11,2023-09-30,15:00,Championship,Matchweek 9,Sat,Home,W,2.0,0.0,Birmingham City,1.3,1.1,57.0,26231.0,Kenny McLean,4-2-3-1,Gavin Ward,Match Report,,16,4,17.8,0.0,0,0,2023,Norwich City
12,2023-10-04,19:45,Championship,Matchweek 10,Wed,Away,L,1.0,2.0,Swansea City,1.6,2.5,45.0,14512.0,Kenny McLean,4-2-3-1,Tom Nield,Match Report,,14,5,13.0,0.0,0,0,2023,Norwich City
13,2023-10-07,15:00,Championship,Matchweek 11,Sat,Away,D,1.0,1.0,Coventry City,0.6,1.7,43.0,26548.0,Kenny McLean,4-2-3-1,Dean Whitestone,Match Report,,6,2,20.6,0.0,0,0,2023,Norwich City
